Group#,Source Student,Target Student,Score,Comment,,Private
-->Group11,gmm-t5-s1,0.4,"From 'Team5 Student1' about 'Team5 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team5 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group11,gmm-t5-s1,gmm-t5-s1,0.4,,"From 'Team5 Student1' about 'Team5 Student1'And they said, "You'll never get it done!""
Group12,gmm-t5-s1,str-t5-s2,25.8,,"From 'Team5 Student1' about 'Team5 Student2'And they said, "You'll never get it done!""
Group12,gmm-t5-s1,vls-t5-s3,33.8,,"From 'Team5 Student1' about 'Team5 Student3'And they said, "You'll never get it done!""
-->Group12,jum-t3-s1,20.8,"From 'Team3 Student1' about 'Team3 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team3 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group12,jum-t3-s1,jum-t3-s1,20.8,,"From 'Team3 Student1' about 'Team3 Student1'And they said, "You'll never get it done!""
Group13,jum-t3-s1,ptx-t3-s2,19.2,,"From 'Team3 Student1' about 'Team3 Student2'And they said, "You'll never get it done!""
-->Group13,khn-t4-s2,28.6,"From 'Team4 Student2' about 'Team4 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team4 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group13,khn-t4-s2,khn-t4-s2,28.6,,"From 'Team4 Student2' about 'Team4 Student2'And they said, "You'll never get it done!""
Group14,khn-t4-s2,wjh-t4-s1,11.4,,"From 'Team4 Student2' about 'Team4 Student1'And they said, "You'll never get it done!""
-->Group14,lkn-t9-s1,15.4,"From 'Team9 Student1' about 'Team9 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team9 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group14,lkn-t9-s1,lkn-t9-s1,15.4,,"From 'Team9 Student1' about 'Team9 Student1'And they said, "You'll never get it done!""
Group14,lkn-t9-s1,soi-t9-s3,15.7,,"From 'Team9 Student1' about 'Team9 Student3'And they said, "You'll never get it done!""
Group14,lkn-t9-s1,mkr-t9-s5,17.7,,"From 'Team9 Student1' about 'Team9 Student5'And they said, "You'll never get it done!""
Group14,lkn-t9-s1,eem-t9-s6,20.0,,"From 'Team9 Student1' about 'Team9 Student6'And they said, "You'll never get it done!""
Group14,lkn-t9-s1,blq-t9-s4,28.7,,"From 'Team9 Student1' about 'Team9 Student4'And they said, "You'll never get it done!""
Group14,lkn-t9-s1,msp-t9-s7,12.8,,"From 'Team9 Student1' about 'Team9 Student7'And they said, "You'll never get it done!""
Group14,lkn-t9-s1,ggl-t9-s2,14.9,,"From 'Team9 Student1' about 'Team9 Student2'And they said, "You'll never get it done!""
Group14,lkn-t9-s1,wef-t9-s8,34.8,,"From 'Team9 Student1' about 'Team9 Student8'And they said, "You'll never get it done!""
-->Group14,mkr-t9-s5,19.2,"From 'Team9 Student5' about 'Team9 Student5'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team9 Student5)Don't forget: Bring your towel \ the cake is a lie."
Group14,mkr-t9-s5,mkr-t9-s5,19.2,,"From 'Team9 Student5' about 'Team9 Student5'And they said, "You'll never get it done!""
Group14,mkr-t9-s5,lkn-t9-s1,20.8,,"From 'Team9 Student5' about 'Team9 Student1'And they said, "You'll never get it done!""
Group14,mkr-t9-s5,blq-t9-s4,19.2,,"From 'Team9 Student5' about 'Team9 Student4'And they said, "You'll never get it done!""
Group14,mkr-t9-s5,eem-t9-s6,3.2,,"From 'Team9 Student5' about 'Team9 Student6'And they said, "You'll never get it done!""
Group14,mkr-t9-s5,wef-t9-s8,22.8,,"From 'Team9 Student5' about 'Team9 Student8'And they said, "You'll never get it done!""
Group14,mkr-t9-s5,soi-t9-s3,26.1,,"From 'Team9 Student5' about 'Team9 Student3'And they said, "You'll never get it done!""
Group14,mkr-t9-s5,ggl-t9-s2,22.1,,"From 'Team9 Student5' about 'Team9 Student2'And they said, "You'll never get it done!""
Group14,mkr-t9-s5,msp-t9-s7,26.6,,"From 'Team9 Student5' about 'Team9 Student7'And they said, "You'll never get it done!""
-->Group14,mqa-t2-s1,36.6,"From 'Team2 Student1' about 'Team2 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team2 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group14,mqa-t2-s1,mqa-t2-s1,36.6,,"From 'Team2 Student1' about 'Team2 Student1'And they said, "You'll never get it done!""
Group15,mqa-t2-s1,rus-t2-s2,3.4,,"From 'Team2 Student1' about 'Team2 Student2'And they said, "You'll never get it done!""
-->Group15,msp-t9-s7,44.0,"From 'Team9 Student7' about 'Team9 Student7'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team9 Student7)Don't forget: Bring your towel \ the cake is a lie."
Group15,msp-t9-s7,msp-t9-s7,44.0,,"From 'Team9 Student7' about 'Team9 Student7'And they said, "You'll never get it done!""
Group15,msp-t9-s7,blq-t9-s4,0.3,,"From 'Team9 Student7' about 'Team9 Student4'And they said, "You'll never get it done!""
Group15,msp-t9-s7,mkr-t9-s5,36.1,,"From 'Team9 Student7' about 'Team9 Student5'And they said, "You'll never get it done!""
Group15,msp-t9-s7,ggl-t9-s2,19.8,,"From 'Team9 Student7' about 'Team9 Student2'And they said, "You'll never get it done!""
Group15,msp-t9-s7,wef-t9-s8,17.3,,"From 'Team9 Student7' about 'Team9 Student8'And they said, "You'll never get it done!""
Group15,msp-t9-s7,eem-t9-s6,19.0,,"From 'Team9 Student7' about 'Team9 Student6'And they said, "You'll never get it done!""
Group15,msp-t9-s7,soi-t9-s3,17.9,,"From 'Team9 Student7' about 'Team9 Student3'And they said, "You'll never get it done!""
Group15,msp-t9-s7,lkn-t9-s1,5.6,,"From 'Team9 Student7' about 'Team9 Student1'And they said, "You'll never get it done!""
-->Group15,pky-t8-s2,8.4,"From 'Team8 Student2' about 'Team8 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team8 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group15,pky-t8-s2,pky-t8-s2,8.4,,"From 'Team8 Student2' about 'Team8 Student2'And they said, "You'll never get it done!""
Group15,pky-t8-s2,yod-t8-s1,0.9,,"From 'Team8 Student2' about 'Team8 Student1'And they said, "You'll never get it done!""
Group15,pky-t8-s2,cmb-t8-s4,39.7,,"From 'Team8 Student2' about 'Team8 Student4'And they said, "You'll never get it done!""
Group15,pky-t8-s2,trd-t8-s3,31.0,,"From 'Team8 Student2' about 'Team8 Student3'And they said, "You'll never get it done!""
-->Group15,ptx-t3-s2,25.2,"From 'Team3 Student2' about 'Team3 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team3 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group15,ptx-t3-s2,ptx-t3-s2,25.2,,"From 'Team3 Student2' about 'Team3 Student2'And they said, "You'll never get it done!""
Group15,ptx-t3-s2,jum-t3-s1,14.8,,"From 'Team3 Student2' about 'Team3 Student1'And they said, "You'll never get it done!""
-->Group15,rus-t2-s2,26.8,"From 'Team2 Student2' about 'Team2 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team2 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group15,rus-t2-s2,rus-t2-s2,26.8,,"From 'Team2 Student2' about 'Team2 Student2'And they said, "You'll never get it done!""
Group15,rus-t2-s2,mqa-t2-s1,13.2,,"From 'Team2 Student2' about 'Team2 Student1'And they said, "You'll never get it done!""
-->Group15,soi-t9-s3,19.0,"From 'Team9 Student3' about 'Team9 Student3'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team9 Student3)Don't forget: Bring your towel \ the cake is a lie."
Group15,soi-t9-s3,soi-t9-s3,19.0,,"From 'Team9 Student3' about 'Team9 Student3'And they said, "You'll never get it done!""
Group15,soi-t9-s3,mkr-t9-s5,29.5,,"From 'Team9 Student3' about 'Team9 Student5'And they said, "You'll never get it done!""
Group15,soi-t9-s3,ggl-t9-s2,16.3,,"From 'Team9 Student3' about 'Team9 Student2'And they said, "You'll never get it done!""
Group15,soi-t9-s3,blq-t9-s4,19.6,,"From 'Team9 Student3' about 'Team9 Student4'And they said, "You'll never get it done!""
Group15,soi-t9-s3,wef-t9-s8,25.2,,"From 'Team9 Student3' about 'Team9 Student8'And they said, "You'll never get it done!""
Group15,soi-t9-s3,msp-t9-s7,24.4,,"From 'Team9 Student3' about 'Team9 Student7'And they said, "You'll never get it done!""
Group15,soi-t9-s3,lkn-t9-s1,13.9,,"From 'Team9 Student3' about 'Team9 Student1'And they said, "You'll never get it done!""
Group15,soi-t9-s3,eem-t9-s6,12.1,,"From 'Team9 Student3' about 'Team9 Student6'And they said, "You'll never get it done!""
-->Group15,str-t5-s2,22.6,"From 'Team5 Student2' about 'Team5 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team5 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group15,str-t5-s2,str-t5-s2,22.6,,"From 'Team5 Student2' about 'Team5 Student2'And they said, "You'll never get it done!""
Group15,str-t5-s2,vls-t5-s3,14.7,,"From 'Team5 Student2' about 'Team5 Student3'And they said, "You'll never get it done!""
Group15,str-t5-s2,gmm-t5-s1,22.7,,"From 'Team5 Student2' about 'Team5 Student1'And they said, "You'll never get it done!""
-->Group15,trd-t8-s3,17.1,"From 'Team8 Student3' about 'Team8 Student3'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team8 Student3)Don't forget: Bring your towel \ the cake is a lie."
Group15,trd-t8-s3,trd-t8-s3,17.1,,"From 'Team8 Student3' about 'Team8 Student3'And they said, "You'll never get it done!""
Group15,trd-t8-s3,cmb-t8-s4,29.5,,"From 'Team8 Student3' about 'Team8 Student4'And they said, "You'll never get it done!""
Group15,trd-t8-s3,pky-t8-s2,22.6,,"From 'Team8 Student3' about 'Team8 Student2'And they said, "You'll never get it done!""
Group15,trd-t8-s3,yod-t8-s1,10.8,,"From 'Team8 Student3' about 'Team8 Student1'And they said, "You'll never get it done!""
-->Group15,vls-t5-s3,13.8,"From 'Team5 Student3' about 'Team5 Student3'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team5 Student3)Don't forget: Bring your towel \ the cake is a lie."
Group15,vls-t5-s3,vls-t5-s3,13.8,,"From 'Team5 Student3' about 'Team5 Student3'And they said, "You'll never get it done!""
Group15,vls-t5-s3,str-t5-s2,39.7,,"From 'Team5 Student3' about 'Team5 Student2'And they said, "You'll never get it done!""
Group15,vls-t5-s3,gmm-t5-s1,6.5,,"From 'Team5 Student3' about 'Team5 Student1'And they said, "You'll never get it done!""
-->Group15,wef-t9-s8,18.0,"From 'Team9 Student8' about 'Team9 Student8'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team9 Student8)Don't forget: Bring your towel \ the cake is a lie."
Group15,wef-t9-s8,wef-t9-s8,18.0,,"From 'Team9 Student8' about 'Team9 Student8'And they said, "You'll never get it done!""
Group15,wef-t9-s8,msp-t9-s7,29.5,,"From 'Team9 Student8' about 'Team9 Student7'And they said, "You'll never get it done!""
Group15,wef-t9-s8,ggl-t9-s2,22.0,,"From 'Team9 Student8' about 'Team9 Student2'And they said, "You'll never get it done!""
Group15,wef-t9-s8,soi-t9-s3,29.1,,"From 'Team9 Student8' about 'Team9 Student3'And they said, "You'll never get it done!""
Group15,wef-t9-s8,blq-t9-s4,14.0,,"From 'Team9 Student8' about 'Team9 Student4'And they said, "You'll never get it done!""
Group15,wef-t9-s8,lkn-t9-s1,4.9,,"From 'Team9 Student8' about 'Team9 Student1'And they said, "You'll never get it done!""
Group15,wef-t9-s8,eem-t9-s6,13.9,,"From 'Team9 Student8' about 'Team9 Student6'And they said, "You'll never get it done!""
Group15,wef-t9-s8,mkr-t9-s5,28.6,,"From 'Team9 Student8' about 'Team9 Student5'And they said, "You'll never get it done!""
-->Group15,wib-t1-s1,20.0,"From 'Team1 Student1' about 'Team1 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team1 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group15,wib-t1-s1,wib-t1-s1,20.0,,"From 'Team1 Student1' about 'Team1 Student1'And they said, "You'll never get it done!""
-->Group16,wjh-t4-s1,3.3,"From 'Team4 Student1' about 'Team4 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team4 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group16,wjh-t4-s1,wjh-t4-s1,3.3,,"From 'Team4 Student1' about 'Team4 Student1'And they said, "You'll never get it done!""
Group16,wjh-t4-s1,khn-t4-s2,36.7,,"From 'Team4 Student1' about 'Team4 Student2'And they said, "You'll never get it done!""
-->Group16,xhs-t6-s2,35.8,"From 'Team6 Student2' about 'Team6 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team6 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group16,xhs-t6-s2,xhs-t6-s2,35.8,,"From 'Team6 Student2' about 'Team6 Student2'And they said, "You'll never get it done!""
Group16,xhs-t6-s2,cbo-t6-s1,21.5,,"From 'Team6 Student2' about 'Team6 Student1'And they said, "You'll never get it done!""
Group16,xhs-t6-s2,xob-t6-s3,2.7,,"From 'Team6 Student2' about 'Team6 Student3'And they said, "You'll never get it done!""
-->Group16,xob-t6-s3,23.9,"From 'Team6 Student3' about 'Team6 Student3'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team6 Student3)Don't forget: Bring your towel \ the cake is a lie."
Group16,xob-t6-s3,xob-t6-s3,23.9,,"From 'Team6 Student3' about 'Team6 Student3'And they said, "You'll never get it done!""
Group16,xob-t6-s3,xhs-t6-s2,15.3,,"From 'Team6 Student3' about 'Team6 Student2'And they said, "You'll never get it done!""
Group16,xob-t6-s3,cbo-t6-s1,20.8,,"From 'Team6 Student3' about 'Team6 Student1'And they said, "You'll never get it done!""
-->Group16,xva-t7-s2,16.5,"From 'Team7 Student2' about 'Team7 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team7 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group16,xva-t7-s2,xva-t7-s2,16.5,,"From 'Team7 Student2' about 'Team7 Student2'And they said, "You'll never get it done!""
Group16,xva-t7-s2,ctn-t7-s3,18.8,,"From 'Team7 Student2' about 'Team7 Student3'And they said, "You'll never get it done!""
Group16,xva-t7-s2,gff-t7-s1,24.7,,"From 'Team7 Student2' about 'Team7 Student1'And they said, "You'll never get it done!""
-->Group16,yod-t8-s1,23.1,"From 'Team8 Student1' about 'Team8 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team8 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group16,yod-t8-s1,yod-t8-s1,23.1,,"From 'Team8 Student1' about 'Team8 Student1'And they said, "You'll never get it done!""
Group16,yod-t8-s1,pky-t8-s2,11.5,,"From 'Team8 Student1' about 'Team8 Student2'And they said, "You'll never get it done!""
Group16,yod-t8-s1,trd-t8-s3,22.9,,"From 'Team8 Student1' about 'Team8 Student3'And they said, "You'll never get it done!""
Group16,yod-t8-s1,cmb-t8-s4,22.5,,"From 'Team8 Student1' about 'Team8 Student4'And they said, "You'll never get it done!""
